Label,Notation,Parent Notation,Sort Priority,Description
NPS Midlands,nps-midlands,,,
"Bristol, Gloucestershire, Somerset and Wiltshire CRC",bristol-gloucestershire-somerset-and-wiltshire-crc,,,
Cheshire and Greater Manchester CRC,cheshire-and-greater-manchester-crc,,,
Durham Tees Valley CRC,durham-tees-valley-crc,,,
"Derbyshire, Leicestershire, Nottinghamshire and Rutland CRC",derbyshire-leicestershire-nottinghamshire-and-rutland-crc,,,
Northumbria CRC,northumbria-crc,,,
West Mercia and Warwickshire CRC,west-mercia-and-warwickshire-crc,,,
Merseyside CRC,merseyside-crc,,,
NPS North West,nps-north-west,,,
West Yorkshire CRC,west-yorkshire-crc,,,
Thames Valley CRC,thames-valley-crc,,,
Norfolk and Suffolk CRC,norfolk-and-suffolk-crc,,,
NPS North East,nps-north-east,,,
"Dorset, Devon and Cornwall CRC",dorset-devon-and-cornwall-crc,,,
Hampshire CRC,hampshire-crc,,,
Essex CRC,essex-crc,,,
South Yorkshire CRC,south-yorkshire-crc,,,
"North Yorkshire, Humberside and Lincolnshire CRC",north-yorkshire-humberside-and-lincolnshire-crc,,,
London CRC,london-crc,,,
NPS London,nps-london,,,
NPS South West and South Central,nps-south-west-and-south-central,,,
"Kent, Surrey and Sussex CRC",kent-surrey-and-sussex-crc,,,
NPS South East and Eastern,nps-south-east-and-eastern,,,
Wales CRC,wales-crc,,,
Cumbria and Lancashire CRC,cumbria-and-lancashire-crc,,,
Staffordshire and West Midlands CRC,staffordshire-and-west-midlands-crc,,,
NPS Wales,nps-wales,,,
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire CRC",northamptonshire-bedfordshire-hertfordshire-and-cambridgeshire-crc,,,
