AGE,AGE_GROUP_5,CCG_CODE,CCG_NAME,CODE,COMM_REGION_CODE,COMM_REGION_NAME,EXTRACT_DATE,NUMBER_OF_PATIENTS,ONS_CCG_CODE,ONS_CODE,ONS_COMM_REGION_CODE,ONS_REGION_CODE,ORG_CODE,ORG_TYPE,POSTCODE,PRACTICE_CODE,PRACTICE_NAME,PRACTICE_POSTCODE,PUBLICATION,REGION_CODE,REGION_NAME,SEX,STP_CODE,STP_NAME,TYPE
ALL,,00C,,A83005,,,01DEC2019,11995.0,E38000042,,,,,,DL1 3RT,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83006,,,01DEC2019,8101.0,E38000042,,,,,,DL3 6HZ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83010,,,01DEC2019,13702.0,E38000042,,,,,,DL3 9JP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83013,,,01DEC2019,11756.0,E38000042,,,,,,DL1 4YL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83031,,,01DEC2019,10453.0,E38000042,,,,,,DL3 8SQ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83034,,,01DEC2019,10147.0,E38000042,,,,,,DL3 7JR,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83040,,,01DEC2019,11948.0,E38000042,,,,,,DL1 5JN,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83047,,,01DEC2019,14940.0,E38000042,,,,,,DL3 0PD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83048,,,01DEC2019,5660.0,E38000042,,,,,,DL2 2DS,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83070,,,01DEC2019,5586.0,E38000042,,,,,,DL2 1BY,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00C,,A83641,,,01DEC2019,4773.0,E38000042,,,,,,DL1 5LW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83001,,,01DEC2019,11812.0,E38000047,,,,,,DL16 6QA,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83003,,,01DEC2019,9233.0,E38000047,,,,,,DL15 0EQ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83007,,,01DEC2019,10052.0,E38000047,,,,,,TS27 4LQ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83008,,,01DEC2019,5535.0,E38000047,,,,,,DL4 2HP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83012,,,01DEC2019,15978.0,E38000047,,,,,,SR8 5TW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83015,,,01DEC2019,10018.0,E38000047,,,,,,DL14 6AB,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83020,,,01DEC2019,13477.0,E38000047,,,,,,DL15 9HU,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83021,,,01DEC2019,14615.0,E38000047,,,,,,DL14 6RP,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83025,,,01DEC2019,13340.0,E38000047,,,,,,DL14 7EJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83032,,,01DEC2019,2500.0,E38000047,,,,,,DL13 5AF,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83035,,,01DEC2019,7197.0,E38000047,,,,,,DL13 2XD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83037,,,01DEC2019,13836.0,E38000047,,,,,,DL5 5LH,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83041,,,01DEC2019,7473.0,E38000047,,,,,,SR7 9AB,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83043,,,01DEC2019,2722.0,E38000047,,,,,,DL12 0QE,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83044,,,01DEC2019,7487.0,E38000047,,,,,,SR8 4LD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83045,,,01DEC2019,15033.0,E38000047,,,,,,DL17 8JJ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83046,,,01DEC2019,10653.0,E38000047,,,,,,DL12 8HT,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83051,,,01DEC2019,10473.0,E38000047,,,,,,SR7 7JE,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83052,,,01DEC2019,8722.0,E38000047,,,,,,DL16 6ED,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83054,,,01DEC2019,15577.0,E38000047,,,,,,TS21 3BN,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83057,,,01DEC2019,18283.0,E38000047,,,,,,TS28 5PZ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83060,,,01DEC2019,2972.0,E38000047,,,,,,DL13 5NX,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83061,,,01DEC2019,3429.0,E38000047,,,,,,DL2 3BE,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
